1247023981,18.105.151.162,36,CA
1282571452,77.9.20.125,7,US
1427305833,178.222.111.129,41,MX
860457469,172.31.191.204,21,JA
950747316,19.112.63.33,4,IN
1439628374,224.147.101.142,2,UK
1121293709,162.148.93.24,42,JA
1206606038,98.7.176.50,26,JA
737659656,158.144.104.10,35,MX
1122006805,31.56.176.30,26,MX
1292249652,88.58.158.32,11,CA
1320725650,195.84.153.126,24,US
1025678899,253.235.139.107,19,CN
1043441052,109.204.190.207,17,CA
969904532,91.37.242.122,21,CA
1258086386,178.21.98.173,27,IN
1024997304,5.7.96.124,37,CA
1164448313,68.36.98.225,23,CN
1048850280,169.112.48.239,23,MX
997567013,34.46.167.228,24,UK
1425255858,208.229.74.83,4,JA
1341280116,95.191.145.232,40,UK
1268639124,218.146.168.62,24,IN
1198446897,85.146.133.214,23,CA
1090443252,19.79.249.139,19,UK
1401160265,100.40.37.188,28,UK
935944372,113.3.128.245,28,CN
1413289685,159.130.249.129,29,CA
712121376,127.132.122.205,2,UK
1425949132,121.38.80.20,29,MX
1214794020,248.121.154.66,5,IN
1019139897,219.225.212.61,11,US
747445911,161.149.59.137,35,UK
1038722009,233.209.239.115,9,JA
1297061729,110.121.60.8,3,CA
1111803511,96.28.144.215,2,MX
1225940810,20.123.113.158,19,MX
721784857,222.33.203.44,35,MX
1202207855,28.176.244.70,19,UK
1327701843,28.20.110.228,14,MX
676818069,23.195.176.156,41,US
1152921681,149.137.212.90,33,MX
800457055,65.183.28.133,44,JA
1159345200,208.111.231.223,24,UK
1082357906,106.192.105.175,35,MX
746793824,75.106.176.13,40,CN
1020755612,198.5.208.155,34,UK
1381213000,69.143.142.105,23,UK
873464047,199.111.179.244,2,MX
1019057330,51.79.28.113,6,MX
1314817945,69.59.30.130,16,IN
1277322469,86.95.253.84,11,CA
1352193997,248.79.222.25,28,IN
993240756,237.192.137.119,8,MX
1457104359,77.161.10.37,32,UK
1215476705,141.17.163.254,13,IN
1103740257,150.47.209.205,18,US
1411205842,89.49.67.217,35,UK
1256000936,57.217.79.44,33,US
915048220,70.177.112.66,30,CN
1400510725,210.204.207.107,7,JA
1105559830,129.163.247.133,13,MX
997081750,201.101.143.123,3,CA
1236977778,23.26.189.108,44,CN
857671790,160.31.149.108,25,MX
1468079572,128.17.202.221,9,JA
1079509242,2.117.6.117,13,JA
1474843281,167.13.10.120,6,UK
1258848973,248.131.148.40,43,MX
1013244593,100.95.204.65,6,UK
887721866,152.211.14.116,26,UK
826354498,67.136.181.47,31,UK
1433406053,209.164.218.138,25,CA
728115867,243.48.119.132,34,CN
1210359670,233.23.250.170,2,CA
932888586,103.249.222.153,33,UK
1087886702,104.206.58.92,41,MX
702788779,39.174.110.214,30,JA
767393197,132.200.205.156,14,CA
861057738,210.149.53.184,42,UK
1130687240,202.154.181.96,11,UK
1279421168,221.161.103.177,14,US
1420540404,202.185.154.42,39,CA
1437109839,242.250.167.198,43,CN
1203745469,34.30.102.224,16,IN
1074448132,129.15.218.22,13,UK
652187369,180.13.172.212,22,CA
1166878217,11.207.140.148,24,CA
1137771709,82.247.22.154,27,UK
1032957584,153.66.254.0,41,IN
1311123309,56.176.116.178,23,CA
1475705845,45.241.192.189,4,IN
998721329,185.239.103.254,44,US
1167799322,229.95.29.141,17,UK
1292644816,200.206.147.197,12,JA
1209045059,56.234.143.218,30,JA
1301127660,16.8.216.183,4,MX
1014709109,56.233.97.103,28,JA
785916148,135.144.11.12,44,MX
1359625325,112.246.56.109,23,CA
1454963916,199.40.215.34,27,IN
1372094946,59.22.99.35,18,UK
1022443674,87.162.207.62,27,UK
1376579377,188.105.205.6,44,JA
1109380457,130.98.130.95,38,IN
887151423,162.6.20.192,35,JA
1458872371,219.169.58.136,8,IN
817924519,208.87.237.103,20,JA
642771323,9.178.108.131,18,CN
919722053,123.13.252.152,13,IN
1217191357,87.215.254.140,14,CA
1088055656,38.92.24.186,15,US
1169583874,63.129.230.170,32,CA
658627486,11.7.181.117,19,MX
1068306622,132.174.219.4,14,US
1171246166,251.152.64.74,24,CA
1173587369,68.92.55.195,36,US
935532241,126.148.160.180,7,US
1389518611,163.90.65.222,19,US
1449207913,4.106.192.3,26,US
1026732447,147.16.16.214,18,US
860494210,245.34.175.0,26,IN
669192914,215.247.227.141,3,UK
1477972981,42.143.71.25,41,IN
1366759396,231.99.13.116,6,JA
1198472973,216.130.236.180,30,JA
980322972,138.200.155.213,14,MX
1467065993,46.203.101.88,37,JA
638826210,131.3.245.13,39,UK
1367074941,13.100.141.123,4,JA
1197905894,98.122.192.83,24,US
875383325,58.41.63.117,10,UK
1191472648,151.192.186.252,44,US
685851468,128.51.173.11,8,IN
1283605500,204.11.122.122,39,IN
977203386,150.40.134.95,6,US
1047474510,76.183.67.99,20,CA
830524393,221.206.236.254,33,UK
1440191866,6.105.248.82,37,US
1064869106,57.186.240.185,4,IN
1071603564,233.175.24.17,38,JA
1007880440,38.102.94.178,38,CA
756936782,124.224.71.181,35,CN
1138764924,195.129.102.40,44,US
1365423309,3.224.135.64,24,IN
1399546935,146.235.128.200,43,CN
990453770,97.111.170.107,30,JA
1037598079,127.119.106.171,19,UK
688058139,250.181.187.141,24,IN
631436001,210.249.196.198,43,JA
752927917,153.4.241.237,36,UK
1056810152,205.85.204.92,22,CA
1402391167,212.103.171.245,16,CN
1138100557,210.93.253.121,37,JA
698355791,34.87.12.160,33,CN
1463011438,57.245.49.36,32,MX
1434271167,139.153.127.6,14,JA
1276383476,93.134.112.132,6,MX
1317685858,166.79.7.227,2,IN
755788979,188.92.27.75,2,US
1153331230,2.145.171.206,39,CN
1440599441,237.26.253.63,8,IN
1329273216,69.75.185.37,16,CN
978020331,121.228.158.235,33,UK
1457605068,144.105.88.133,5,CA
1170579497,30.174.120.30,34,IN
735835464,67.47.39.10,31,US
1208351029,51.89.95.159,19,UK
1140816076,233.62.88.221,20,CN
1084322096,43.168.33.128,7,UK
1039259397,60.213.103.24,25,CA
1092808286,225.173.36.139,12,CN
738576025,100.30.23.236,39,CN
815402722,243.102.249.78,23,UK
1175035060,8.165.51.52,28,US
